> like there is a category (youtube)/ create a new route group for (downloaders)/ that will contain all downloaders like insta     │
 │   reel downloader, dp downloader / story downloader/ also for other popular social sites like facebook instagram twitter , x,      │
 │   pinterest , do best keyword research and add all the keywords in page articles , faqs and all seo techniques , meta tags etc.    │
 │   for facebook read keywords/facebook-dl.csv  this is example for all facebbook related tools that you will create i.e. keywords   │
 │   you will use = "Keyword","Trends","Impressions"  
 "Keyword","Trends","Impressions"
"baixar vídeo no facebook","[22,24]","46"
"online facebook downloader","[21,20,25]","66"
"facebook downloader app","[31,21,0,0,0,0,32,20,30,0,34,23,25]","216"
"telecharger video sur facebook","[22,21,21,26,35,39,29,32,21]","246"
"video download from facebook","[23,22,31,30,21,22,23,29,20,30]","251"
"downloader video facebook","[47,37,30,22,28,34,28,45]","271"
"facebook.com downloader video","[21,21,39,24,32,29,30,22,27,25,27]","297"
"free download facebook video","[35,49,44,27,33,25,27,31,29]","300"
"snapsave facebook video downloader","[42,34,30,29,32,42,45,49]","303"
"téléchargement vidéo facebook","[29,22,26,43,28,31,20,48,31,36]","314"
"download facebook videos online","[25,26,0,34,34,29,24,0,40,24,23,36,30]","325"
"download facebook video free","[22,30,27,24,30,20,39,33,26,24,36,34]","345"
"video facebook downloader","[36,21,25,31,25,33,22,27,23,28,34,39,28]","372"
"facebook download link","[25,33,22,29,27,32,21,33,26,26,35,26,41]","376"
"video downloader for facebook","[27,36,32,29,31,32,37,28,31,32,36,33]","384"
"facebook download online","[29,29,31,48,26,32,39,48,41,28,27,33]","411"
"facebook downloader video free","[45,39,44,20,38,23,28,24,45,23,53,44]","426"
"download facebook link","[36,22,47,40,37,40,33,34,32,21,33,34,53]","462"
"video download facebook","[68,53,43,29,51,30,34,26,25,30,56,50]","495"
"snaptik facebook","[63,47,57,62,31,25,37,48,24,45,61,37,34]","571"
"save from facebook video","[32,39,62,33,48,48,50,41,50,43,59,32,35]","572"
"facebook save video","[65,76,80,64,52,32,21,35,42,36,32,43]","578"
"downloader facebook","[31,56,43,51,62,50,33,41,54,48,39,38,46]","592"
"facebook downloader free","[35,54,37,32,44,57,56,43,41,43,52,51,58]","603"
"facebook online video downloader","[34,49,39,40,43,66,58,38,55,40,31,72,45]","610"
"تنزيل فيديوهات فيسبوك","[45,29,46,41,66,45,54,49,44,32,42,54,68]","615"
"download facebook story","[47,50,37,43,68,46,64,35,56,61,28,38,56]","629"
"facebook download videos","[68,50,41,40,44,54,51,33,57,49,46,45,58]","636"
"تحميل فيديو فيس بوك","[58,63,58,62,50,38,46,41,32,39,44,59,57]","647"
"fbdownload","[66,60,48,59,47,46,48,36,46,46,40,52,54]","648"
"download video facebook online","[48,39,40,49,46,73,43,50,53,52,61,76,77]","707"
"télécharger video facebook","[63,37,35,54,37,44,66,57,63,73,60,72,52]","713"
"save video facebook","[55,48,22,45,55,47,65,59,73,76,71,57,50]","723"
"download facebook video online getfbvideo.pro","[24,52,86,69,81,82,95,67,50,55,70]","731"
"facebook download video online","[50,82,40,35,56,50,60,67,81,47,63,83,55]","769"
"www.facebook video download.com","[51,59,59,82,53,68,75,65,45,44,58,68,42]","769"
"save video from facebook","[72,58,57,79,59,72,51,69,56,64,60,58,72]","827"
"facebook converter","[79,64,61,64,58,45,55,54,62,84,75,67,76]","844"
"savefbs","[106,66,62,75,82,66,36,52,47,67,49,75,117]","900"
"telecharger video facebook en ligne","[74,57,71,84,47,61,59,66,55,90,72,83,82]","901"
"fbtake","[54,48,55,59,76,67,97,60,102,88,72,62,85]","925"
"fd downloader","[70,105,68,123,67,66,65,70,68,80,70,60,59]","971"
"video facebook download","[85,53,121,51,85,58,73,76,74,85,75,77,59]","972"
"free facebook video downloader","[79,84,80,73,76,58,85,83,82,81,76,63,87]","1007"
"facebook online downloader","[54,66,102,91,73,93,70,113,106,70,60,49,61]","1008"
"snapfb","[49,23,63,50,87,128,107,123,92,90,93,61,53]","1019"
"تحميل فيديو من فيسبوك","[34,56,84,90,107,76,107,80,70,79,113,96,90]","1082"
"scaricare video da facebook","[72,63,78,71,84,94,80,119,80,73,84,103,92]","1093"
"fdownloader","[89,87,104,71,92,101,91,93,74,68,77,80,72]","1099"
"facebook videos downloader","[116,100,87,110,107,79,89,72,80,73,81,81,69]","1144"
